FIPS,Mean Elevation
36059517902,5.499222767
36059518000,22.92483369
36059518201,45.19539482
36081099705,2.066354988
36081109300,18.81523369
36081111300,14.50173598
36081148300,9.180084424
36103110101,21.4332717
36103110102,51.78968241
36103110300,16.4188679
36103110401,43.07431047
36103110402,30.51648048
36103110501,31.27349189
36103110600,28.28256326
36103110801,10.54972904
36103110803,26.82929717
36103134703,29.67995995
36103135004,22.02163853
36103158001,8.450790608
36103158002,20.09949739
36103158207,30.35938648
36103158304,32.07000885
36103158317,38.7977496
36103158402,33.82401399
36103158407,37.55335988
36103158408,45.491364
36103169701,30.39917002
36103169703,32.82642082
36103169901,18.37614331
36103169902,9.510426839
36103170001,5.003185144
36103170002,5.678883121
36103170201,3.025835467
36103170202,4.339224438
36103180300,3.939527357
36103200902,12.31188124
36103201001,8.395319565
36103201003,10.58162209
36103201004,13.41526226
36119006900,32.49614409
36119007000,20.40082848
36119007100,9.002435529
36119007402,6.365904808
36119007500,12.56124958
36119007600,5.300637138
44009041500,19.51134547
44009051000,4.357045794
44009051101,21.78281837
44009051102,29.18766128
44009051302,7.574413597
44009051504,6.293579618
9001050400,4.759104087
9001070400,3.309314172
9009140400,4.32829158
9009142700,10.71059405
9011690900,7.481495936
9011705300,6.528415645
36005011800,1.794620621
36005027402,2.775456738
36059300100,11.90059385
36059302000,36.44770922
36059517000,18.84759374
36081099703,5.984757576
36103134704,33.53034897
36119005902,5.114985735
9009140200,3.030559552
9009155100,2.885512103
36005027600,4.858902408
36005050400,5.73182476
36119005701,8.986326179
36119007200,5.077394963
9001070600,5.079862656
