"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init13",34023009100,1.98805827427396,0.15,18.6903289645842,9.5507213655225,0.00332474194523418,0.0195456543576373,0.106619844568378,0.0618634662610776,0.0731639085807203,1.07774480940854,0.149984317312024
"x_init14",34025800100,1.87250004583486,0.145628131705668,7.64074412419666,21.9482556126291,6.3475025240354,0.938967642608371,0.329873460631644,1.98277350301213,0.0672356938848079,1.66618189669214,0.0863195483783459
"x_init15",34025800200,2.05667043038729,0.15,11.2191380213293,8.76516679725332,0.954161630501607,0.0835472066561222,0.0562397568509852,0.0502765931132215,0.0851635603700482,2.13724610174811,0.15
"x_init16",34025800400,2.07291545382022,0.15,10.1059436947511,6.55075457149692,2.7103433319975,0.109679208423635,0.0509242300244002,0.372630304148451,0.0216465827434926,0.945011906311066,0.149795553312645
"x_init17",34025800500,2.13697089857043,0.149786407325081,4.23004753474946,5.44299403101335,0.001,0.372932772729927,0.001,0.113723758490172,0.02527087583282,0.5800299120287,0.123658700158239
"x_init18",34025800601,2.08089756849662,0.15,3.29430811542504,21.2253403341583,0.001,0.575866036689987,0.001,0.0503864213580118,0.01,2.47863992398276,0.15
"x_init19",34025801600,2.22217597485297,0.15,6.299674774927,4.28966524387056,0.0299325653606416,0.588989814890324,0.00202830709751148,0.231533832460804,0.01,0.788543692188607,0.149606705536397
"x_init20",34025801700,2.17424330993065,0.0363283445199389,7.05709609960333,3.18319602122431,1.80819920118795,0.0232560724808174,0.0820339567830184,0.00351817981310531,0.0554179762690207,0.001,0.15
"x_init21",34025801800,2.17135355859706,0.15,5.90630018861705,5.75715002874026,2.32730875692445,0.169928445711191,0.109325046944209,0.0086462086609843,0.0278596521015895,0.0136817132036443,0.149932694484452
"x_init22",34025801900,1.84033709016618,0.149568657751634,13.6546070459054,11.8363868041961,10,0.159457728495104,0.0931333894662365,0.001,0.409163558001405,2.87908770050055,0.0752448885673229
"x_init23",34025802500,2.01495135711583,0.123839150841343,8.34726833100048,9.71893932291075,2.19569645525544,0.92423748746599,0.0442506839951743,0.0815988857656079,1.48368026172254,0.655587382924575,0.0730960564026731
