"census_tract","W","L","D","R","U","A","P"
"32",34003002100,1.911,0.00139188106621998,0.0992453914305838,0.0141459516361412,0.01,0.00141674755913317,0
"33",34003002100,2.113,0.00329152658354391,0.100107686067263,0.0331655358107599,0.01,0.00130958500927095,0
"34",34003002100,3.501,0.015446370350259,0.100979053576114,0.154297546542835,0.01,0.00165496505636603,0.00182698582088032
"35",34003002100,1.464,0,0.101849316042194,0,0.01,0.00139203413127928,0
"36",34003002100,1.529,0,0.102732241930849,0,0.01,0.00117087609505266,0
"37",34003002100,1.478,0,0.103627042864535,0,0.01,0.000984854321571743,0
"38",34003002100,1.645,0,0.104533057248096,0,0.01,0.000828386572086362,0
"39",34003002100,1.54,0,0.105449730752926,0,0.01,0.000696777480468215,0
"40",34003002100,1.763,0,0.10637659983355,0,0.01,0.000586077652206342,0
"41",34003002100,1.503,0,0.107313277795887,0,0.01,0.000492965148909353,0
"42",34003002100,1.455,0,0.108259443015308,0,0.01,0.000414645801839347,0
"43",34003002100,1.591,0,0.109214828967844,0,0.01,0.000348769363033836,0
"44",34003016000,1.458,0,0.1,0,1.74084344957132,0.2,0.1
"45",34003016000,1.647,1.53357331385329e-05,0,0.000153357331385329,1.74084344957132,0.163572838863562,0
"46",34003016000,1.324,0,0,0,1.74084344957132,0.133780358035386,0
"47",34003016000,1.257,0,0,0.0339943358624357,1.74084344957132,0.109414156533679,0
"48",34003016000,1.397,0,0,0,1.74084344957132,0.0894859142685951,0
"49",34003016000,1.802,0,0,0.00337428979263832,1.74084344957132,0.0731873196867486,0
"50",34003016000,1.665,0,0,0.000542988681994871,1.74084344957132,0.0598572837603577,0
"51",34003016000,1.452,0,0,0,1.74084344957132,0.0489551254848961,0
"52",34003016000,1.723,0,0,0.00174262218804244,1.74084344957132,0.0400386412593808,0
"53",34003016000,1.333,0,0,0,1.74084344957132,0.0327461686190955,0
"54",34003016000,1.455,0,0,0,1.74084344957132,0.0267819168059057,0
"55",34003016000,1.418,0,0,0.00421588993914535,1.74084344957132,0.0219039691678673,0
"56",34003016000,1.86,0,0,0.00996597010221556,1.74084344957132,0.0179144707521862,0
"57",34003016000,2.174,0,0,0.0110218104302243,1.74084344957132,0.0146516030894405,0
"58",34003016000,1.757,0,0,0.00244518606841704,1.74084344957132,0.0119830206574373,0
"59",34003016000,1.479,0,0,0,1.74084344957132,0.00980048280041498,0
"60",34003016000,1.415,0,0,0,1.74084344957132,0.00801546336829658,0
"61",34003016000,1.463,0,0,0,1.74084344957132,0.00655555999810376,0
"62",34003016000,1.541,0,0,0,1.74084344957132,0.00536155739401391,0
"63",34003016000,1.552,0,0,0,1.74084344957132,0.00438502548945023,0
"64",34003016000,1.469,0,0,0,1.74084344957132,0.00358635507000194,0
"65",34003016000,1.334,0,0,0,1.74084344957132,0.00293315117986719,0
"66",34003016000,1.358,0,0,0,1.74084344957132,0.00239891914660631,0
"67",34003016000,1.409,0,0,0,1.74084344957132,0.001961989927916,0
"68",34003016000,1.536,0,0,0,1.74084344957132,0.00160464119130046,0
"69",34003016000,1.365,0,0,0,1.74084344957132,0.00131237847665872,0
"70",34003016000,1.489,0,0,0.0278165211188208,1.74084344957132,0.00107334728494737,0
"71",34003016000,1.549,0,0,0,1.74084344957132,0.00087785224658442,0
"72",34003016000,1.552,0,0,0,1.74084344957132,0.000717963866532814,0
"73",34003016000,1.543,0,0,0,1.74084344957132,0.000587196895209149,0
"74",34003016000,1.585,0,0,0,1.74084344957132,0.00048024727958577,0
"75",34003016000,1.911,0,0,0.00562120045638004,1.74084344957132,0.000392777024931959,0
"76",34003016000,2.113,0,0,0.0097718159184389,1.74084344957132,0.000321238240948428,0
"77",34003016000,3.501,0,0,0.0378271757152682,1.74084344957132,0.00026272923541166,0
"78",34003016000,1.464,0,0,0.00705821032389109,1.74084344957132,0.000214876818327109,0
"79",34003016000,1.529,0,0,0.0107177395462463,1.74084344957132,0.000175740042717501,0
"80",34003016000,1.478,0,0,0,1.74084344957132,0.000143731477666117,0
"81",34003016000,1.645,0,0,0.000128987776641609,1.74084344957132,0.000117552820362596,0
"82",34003016000,1.54,0,0,0,1.74084344957132,9.61422355046061e-05,0
"83",34003016000,1.763,0,0,0.00256911659195536,1.74084344957132,7.8631286083241e-05,0
"84",34003016000,1.503,0,0,0,1.74084344957132,6.43097086171693e-05,0
"85",34003016000,1.455,0,0,0,1.74084344957132,5.25966040800481e-05,0
"86",34003016000,1.591,0,0,0.012238512251733,1.74084344957132,4.30168759933514e-05,0
"87",34003055100,1.458,0,0.1,0,1.88216631019329,0.2,0.1
"88",34003055100,1.647,0,0,0,1.88216631019329,0.187046470580797,0.0961087807305724
"89",34003055100,1.324,0,0,0,1.88216631019329,0.174931910783666,0.0923689773351724
"90",34003055100,1.257,0,0,0.999999999999975,1.88216631019329,0.163601982520198,0.00448901805336696
"91",34003055100,1.397,0,0,0,1.88216631019329,0.153005867052122,0.00431434051786626
"92",34003055100,1.802,0,0,0,1.88216631019329,0.14309603705127,0.00414646006828632
"93",34003055100,1.665,0,0,0,1.88216631019329,0.133828043422696,0.00398511221511004
"94",34003055100,1.452,0,0,0,1.88216631019329,0.125160315934745,0.00383004276068737
"95",34003055100,1.723,0,0,0,1.88216631019329,0.117053976761858,0.00368100739875618
"96",34003055100,1.333,0,0,0,1.88216631019329,0.109472666103761,0.00353777132954672
"97",34003055100,1.455,0,0,0,1.88216631019329,0.102382379098893,0.00340010888986312
"98",34003055100,1.418,0,0,0.999645091778028,1.88216631019329,0.0957513133005653,0
"99",34003055100,1.86,0,0,0.999997807226207,1.88216631019329,0.0895497260317345,0
"100",34003055100,2.174,0,0,0,1.88216631019329,0.0837498009785665,0
"101",34003055100,1.757,0,0,0,1.88216631019329,0.0783255234244253,0
