census_tract,Surge_threshold,Rain_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate,POT_S_max,POT_R_max
09001074400,2.051845756,0.15,14.77844566,2.465785168,0.001,0.128197363,0.080026927,0.147135219,0.023548483,1.024874203,0.111869829
09001080500,1.820288297,0.15,7.602534942,20.57115163,10,0.093656634,0.045067447,0.0089524,0.01,0.851008642,0.15
09007610100,2.591575523,0.15,6.167803119,0.001,7.608400066,0.297817402,0.006417385,0.050062425,0.217937418,2.970689023,0.084866006
09007610200,1.966220185,0.146294251,14.36735175,20.56201204,9.928124126,0.509930317,0.113405453,0.001,0.285581927,2.569638451,0.136078321
09007670100,1.753115455,0.145191049,12.83727342,18.06872643,6.927003768,0.033996657,0.095697956,0.001,0.148935562,0.747809625,0.100746352
09007670200,1.857196263,0.135103628,19.8886494,25,10,0.304916256,0.122192614,0.001,0.304072998,0.255335293,0.149604525
09007680100,1.924675985,0.122320662,7.921297665,25,9.983128928,0.906797446,0.048749785,0.927539492,1.833189241,2.105111657,0.043351537
09009140400,1.746608867,0.142086792,10.51639219,7.09109953,2.541360154,0.001015597,0.05308353,0.008037147,0.124550387,0.200416179,0.149990451
09009142700,2.236384058,0.061285937,14.04942252,20.94274444,5.488715058,0.657360751,0.081599603,1.322125888,2.814664026,0.232330928,0.022267875
09009142800,1.86122713,0.121328474,9.762162322,19.45888217,9.979107635,0.551898379,0.058352583,0.001,1.111205874,0.002100713,0.007877982
09009150100,1.975666858,0.136047257,12.39554912,7.469895058,6.760853837,0.828174504,0.071454821,0.796154885,0.64012641,0.684071653,0.079116964
09009150200,1.17954178,0.070743442,7.483257882,21.05781226,8.733188128,0.212976194,0.474370745,1.812660572,1.726604527,2.238025607,0.11863158
09009150400,1.90212222,0.139620454,17.75432376,9.84764985,9.732105769,0.099007574,0.158456699,0.284169833,0.135579289,0.401072893,0.149865452
09009150500,1.844594172,0.148649844,10.61072438,25,9.899023708,0.008526628,0.069361349,0.238754402,0.091845103,0.240234896,0.11910848
09009150900,1.711000976,0.148597739,8.36454159,25,10,0.010138331,0.035459117,0.001,0.073232815,1.719255897,0.128512241
09009151000,1.87305837,0.139959273,17.25158953,24.98865178,2.96676522,0.344928083,0.256527508,0.762481768,0.308038924,0.373957266,0.136977302
09009151100,1.908170693,0.149822812,13.16904277,20.06982438,9.999225836,0.274662062,0.112039318,0.815999438,0.104637113,1.865268407,0.118363855
09009154500,1.915792218,0.149029894,21.40126427,5.357198811,6.810223496,0.570650876,0.123540187,0.043592538,0.310066378,0.002992965,0.030708499
09009154700,1.724541072,0.142020691,8.731165901,12.15272345,2.633592926,0.001,0.042818478,0.027880196,0.070447886,0.112916428,0.017471145
09009154800,1.910298655,0.149798325,20.81088242,6.961459524,5.463676162,0.2433417,0.072445918,0.003961459,0.194845353,0.005198514,0.087078849
09009155000,1.529828897,0.148601519,14.17121534,23.8469786,10,0.039771431,0.097442284,0.001,0.289961227,1.821432135,0.028411965
09009155100,1.805688551,0.149788595,6.900140318,2.463158339,9.866800261,0.243238211,0.019193684,0.004253045,0.568895608,3.421920268,0.115589559
09009180100,1.974165484,0.138545143,9.482896599,4.559899021,8.527111976,0.507819543,0.062271521,0.44920992,0.416683569,0.364873399,0.106799278
09009184300,1.4855526,0.114544427,10.49577137,25,10,0.001,0.061940487,0.001,0.168179958,0.112691761,0.118899525
09009184400,1.968356829,0.145813832,8.886427837,24.76590261,8.580252944,0.161323944,0.053032172,0.049833296,0.45282886,0.574725826,0.110144491
