"STATE" "COUNTY" "FIPS" "RPL_THEME1" "RPL_THEME2" "RPL_THEME3" "RPL_THEME4" "RPL_THEMES" "Surge_threshold" "Rain_threshold" "alpha_d" "alpha_a" "alpha_p" "alpha_r" "mew_a" "mew_p" "U_rate" "POT_S_max" "POT_R_max"
"141" "New York" "Dutchess" 36027210201 0.3935 0.8894 0.6764 0.6069 0.649 3.32 0.15 18.05 8.58 6.93 0.24 0.11 0 0.29 2.29 0.15
"142" "New York" "Dutchess" 36027220700 0.7951 0.4486 0.8071 0.5734 0.7201 1.84 0.1 23.02 1.87 0 0.03 0.15 0.23 0.24 0.78 0.15
"143" "New York" "Greene" 36039080100 0.1051 0.069 0.1605 0.4845 0.1252 2.27 0.15 14.64 25 6.62 0 0.09 0.01 0.47 0.18 0.15
"144" "New York" "Greene" 36039080600 0.2863 0.3986 0.2439 0.4859 0.3335 1.64 0.07 8.55 0 0.27 0.07 0.11 0.85 1.99 1.8 0.06
"145" "New York" "Greene" 36039080700 0.3574 0.5407 0.053 0.6798 0.4489 1.76 0.15 13.03 2.07 2.69 0.18 0.08 0.01 0.54 1.35 0.15
"146" "New York" "Greene" 36039080900 0.3331 0.6237 0.2556 0.7122 0.5032 1.64 0.15 17.21 3.13 0 0.09 0.1 0.06 0.21 3.37 0.15
"147" "New York" "Greene" 36039081102 0.2932 0.2737 0.292 0.5496 0.3333 1.33 0.15 25 10.15 10 0.01 0.18 0 0.09 0.85 0.06
"148" "New York" "Kings" 36047000301 0.1272 0.1175 0.2191 0.9014 0.3174 2.77 0.09 25 0.02 0 1 0.15 0.04 0.01 0.67 0.04
"149" "New York" "Kings" 36047000700 0.0888 0.1299 0.3508 0.9118 0.3228 2.11 0.15 14.85 0.48 0.81 0.58 0.09 0.12 0.39 1.56 0.15
"150" "New York" "Kings" 36047003400 0.3193 0.5181 0.6547 0.9354 0.648 2.1 0.1 21.51 10.78 10 0 0.15 0.32 0.28 0.06 0
"151" "New York" "Kings" 36047003800 0.2999 0.5197 0.6122 0.6346 0.4866 1.65 0.14 21.14 0 5.87 0.56 0.11 1.04 2.36 1.6 0.05
"152" "New York" "Kings" 36047004400 0.1728 0.3048 0.2724 0.6631 0.3143 2.94 0.11 10.95 21.79 4.4 0.67 0.06 0.73 1.73 0.49 0
"153" "New York" "Kings" 36047004600 0.1362 0.3906 0.4095 0.4575 0.2647 1.86 0.05 25 0 1.84 0.94 0.08 0.51 0.78 1.01 0.06
"154" "New York" "Kings" 36047004700 0.0457 0.1616 0.6297 0.8777 0.3203 2.28 0.14 11.11 11.93 4.97 0.56 0.07 0 0.81 1.2 0.14
"155" "New York" "Kings" 36047005000 0.0574 0.271 0.3739 0.5916 0.2181 2.12 0.05 19.34 0 4.46 0.38 0.08 1.33 0.6 3.17 0.11
